Output, nFit, purity, sigBox
MC_00_03 , 2309±60 , 0.565 , 2308±60
MC_00_06 , 7698±116 , 0.544 , 7696±116
MC_00_08 , 1369±43 , 0.639 , 1369±43
MC_00_10 , 6920±122 , 0.523 , 6916±122
MC_00_05 , 36892±221 , 0.665 , 36881±221
MC_00_13 , 39620±217 , 0.698 , 39613±217
MC_01_01 , 538±40 , 0.418 , 535±40
MC_01_02 , 22386±161 , 0.730 , 22371±161
MC_01_05 , 28582±189 , 0.722 , 28540±189
MC_01_03 , 1561±45 , 0.693 , 1560±45
MC_01_06 , 4842±81 , 0.731 , 4836±81
MC_01_10 , 4062±87 , 0.633 , 4054±87
MC_01_13 , 29670±179 , 0.767 , 29650±179
MC_01_14 , 1928±48 , 0.746 , 1927±48
MC_03_02 , 10672±98 , 0.832 , 10670±98
MC_03_13 , 8577±85 , 0.868 , 8576±85
MC_15_00 , 730±37 , 0.639 , 727±37
MC_15_03 , 564±27 , 0.742 , 563±27
MC_15_01 , 134±19 , 0.408 , 134±19
MC_15_06 , 8423±94 , 0.835 , 8415±94
MC_15_07 , 1633±48 , 0.751 , 1630±48
MC_15_09 , 312±21 , 0.731 , 312±21
MC_15_05 , 302±24 , 0.516 , 302±24
MC_15_08 , 294±18 , 0.770 , 294±18
MC_15_12 , 1581±43 , 0.755 , 1581±43
MC_15_10 , 256±16 , 0.793 , 256±16
MC_15_11 , 3499±58 , 0.862 , 3497±58
