ExlB0_fixBkg_group00_CB.root       , 41997±296 , 0.618 , 41793±294
ExlB0_fixBkg_group01_Johnson.root  , 28624±260 , 0.549 , 28586±260
ExlB0_fixBkg_group02_Johnson.root  , 120064±436 , 0.686 , 119988±435
ExlB0_fixBkg_group03_Johnson.root  , 5932±97 , 0.725 , 5929±97
ExlB0_fixBkg_group04_CB.root       , 83420±379 , 0.741 , 82219±374
ExlB0_fixBkg_group05_CB.root       , 51384±281 , 0.758 , 51110±280
ExlB0_fixBkg_group06_Gaussian.root , 30170±190 , 0.855 , 30165±190
ExlB0_fixBkg_group07_Johnson.root  , 10849±119 , 0.828 , 10835±119
ExlB0_fixBkg_group08_Gaussian.root , 1867±57 , 0.665 , 1863±57
ExlB0_fixBkg_group09_Johnson.root  , 15897±150 , 0.815 , 15843±149
ExlB0_fixBkg_group10_Johnson.root  , 8951±111 , 0.836 , 8920±111
ExlB0_fixBkg_group11_Gaussian.root , 3307±71 , 0.708 , 3306±71
ExlB0_fixBkg_group12_Johnson.root  , 5832±87 , 0.869 , 5815±86
ExlB0_fixBkg_group13_CB.root       , 10780±147 , 0.837 , 10405±142
ExlB0_fixBkg_group14_Gaussian.root , 13506±122 , 0.911 , 13502±122
ExlB0_fixBkg_group15_Gaussian.root , 6363±89 , 0.827 , 6361±89
ExlB0_fixBkg_group16_Gaussian.root , 24432±161 , 0.961 , 24411±161
ExlB0_fixBkg_group17_Gaussian.root , 10440±126 , 0.753 , 10438±126
ExlB0_fixBkg_group18_Gaussian.root , 6747±86 , 0.957 , 6736±86
ExlB0_fixBkg_group19_Gaussian.root , 12323±145 , 0.667 , 12300±145
ExlB0_fixBkg_group20_Gaussian.root , 12451±131 , 0.746 , 12450±131
