B0_fixSig_group00_CB.root       , 17±15 , 0.070 , 17±15
B0_fixSig_group01_Johnson.root  , 195±33 , 0.197 , 195±33
B0_fixSig_group02_Johnson.root  , 239±46 , 0.110 , 239±46
B0_fixSig_group03_Johnson.root  , 17±13 , 0.112 , 17±13
B0_fixSig_group04_CB.root       , 244±50 , 0.127 , 240±49
B0_fixSig_group05_CB.root       , 175±40 , 0.132 , 173±39
B0_fixSig_group06_Gaussian.root , 82±22 , 0.152 , 82±22
B0_fixSig_group07_Johnson.root  , 37±17 , 0.129 , 37±17
B0_fixSig_group08_Gaussian.root , 106±17 , 0.552 , 105±17
B0_fixSig_group09_Johnson.root  , 529±40 , 0.484 , 526±40
B0_fixSig_group10_Johnson.root  , 323±31 , 0.480 , 321±31
B0_fixSig_group11_Gaussian.root , 51±14 , 0.310 , 51±14
B0_fixSig_group12_Johnson.root  , 133±18 , 0.612 , 133±18
B0_fixSig_group13_CB.root       , 32±10 , 0.443 , 31±10
B0_fixSig_group14_Gaussian.root , 28±9 , 0.462 , 28±9
B0_fixSig_group15_Gaussian.root , 145±35 , 0.156 , 145±35
B0_fixSig_group16_Gaussian.root , 51±29 , 0.066 , 51±29
B0_fixSig_group17_Gaussian.root , 216±27 , 0.314 , 216±27
B0_fixSig_group18_Gaussian.root , 0±48 , 0.000 , 0±48
B0_fixSig_group19_Gaussian.root , 18±12 , 0.116 , 18±12
B0_fixSig_group20_Gaussian.root , 32±17 , 0.096 , 32±17
