Matched_group00_Johnson.root  , 40735±210 , 0.987 , 40706±209
Matched_group00_Gaussian.root , 40606±208 , 0.984 , 40598±208
Matched_group00_CB.root       , 41018±213 , 0.991 , 40891±213
Matched_group01_Johnson.root  , 28239±190 , 0.959 , 28213±190
Matched_group01_Gaussian.root , 28142±183 , 0.956 , 28132±183
Matched_group01_CB.root       , 28686±236 , 0.970 , 28520±234
Matched_group02_Johnson.root  , 121380±372 , 0.966 , 121305±372
Matched_group02_Gaussian.root , 121317±372 , 0.966 , 121285±372
Matched_group02_CB.root       , 123206±433 , 0.976 , 122605±431
Matched_group03_Johnson.root  , 6028±86 , 0.950 , 6026±85
Matched_group03_Gaussian.root , 6023±85 , 0.950 , 6021±85
Matched_group03_CB.root       , 6131±96 , 0.962 , 6097±95
Matched_group04_Johnson.root  , 78521±346 , 0.951 , 78187±344
Matched_group04_Gaussian.root , 77314±320 , 0.939 , 77247±320
Matched_group04_CB.root       , 80208±346 , 0.964 , 79303±342
Matched_group05_Johnson.root  , 51018±265 , 0.960 , 50890±264
Matched_group05_Gaussian.root , 50562±250 , 0.953 , 50531±250
Matched_group05_CB.root       , 51699±262 , 0.968 , 51326±261
Matched_group06_Johnson.root  , 29694±177 , 0.981 , 29688±177
Matched_group06_Gaussian.root , 29669±178 , 0.980 , 29665±178
Matched_group06_CB.root       , 29783±182 , 0.983 , 29750±181
Matched_group07_Johnson.root  , 10550±110 , 0.965 , 10544±110
Matched_group07_Gaussian.root , 10522±110 , 0.962 , 10520±110
Matched_group07_CB.root       , 10630±113 , 0.970 , 10601±113
Matched_group08_Johnson.root  , 1731±62 , 0.886 , 1720±61
Matched_group08_Gaussian.root , 1689±57 , 0.869 , 1687±57
Matched_group08_CB.root       , 1774±65 , 0.900 , 1747±64
Matched_group09_Johnson.root  , 15283±168 , 0.905 , 15230±167
Matched_group09_Gaussian.root , 14977±151 , 0.890 , 14970±151
Matched_group09_CB.root       , 15968±209 , 0.930 , 15641±205
Matched_group10_Johnson.root  , 8702±131 , 0.903 , 8644±131
Matched_group10_Gaussian.root , 8409±114 , 0.878 , 8404±114
Matched_group10_CB.root       , 9217±154 , 0.935 , 8952±150
Matched_group11_Johnson.root  , 3316±69 , 0.928 , 3309±69
Matched_group11_Gaussian.root , 3276±66 , 0.919 , 3275±66
Matched_group11_CB.root       , 3472±86 , 0.954 , 3401±84
Matched_group12_Johnson.root  , 5571±84 , 0.944 , 5564±84
Matched_group12_Gaussian.root , 5575±84 , 0.945 , 5572±84
Matched_group12_CB.root       , 5647±87 , 0.954 , 5620±87
Matched_group13_Johnson.root  , 9618±142 , 0.902 , 9498±141
Matched_group13_Gaussian.root , 9170±122 , 0.870 , 9160±122
Matched_group13_CB.root       , 10347±194 , 0.940 , 9893±185
Matched_group14_Johnson.root  , 13537±126 , 0.988 , 13515±125
Matched_group14_Gaussian.root , 13402±122 , 0.979 , 13398±122
Matched_group14_CB.root       , 13672±126 , 0.994 , 13602±125
Matched_group15_Johnson.root  , 6185±89 , 0.947 , 6179±89
Matched_group15_Gaussian.root , 6155±85 , 0.943 , 6153±85
Matched_group15_CB.root       , 6245±103 , 0.953 , 6214±102
Matched_group16_Johnson.root  , 22114±162 , 0.955 , 22106±161
Matched_group16_Gaussian.root , 22136±161 , 0.956 , 22132±161
Matched_group16_CB.root       , 22345±169 , 0.962 , 22283±168
Matched_group17_Johnson.root  , 11744±137 , 0.938 , 11711±137
Matched_group17_Gaussian.root , 11690±125 , 0.936 , 11681±125
Matched_group17_CB.root       , 12091±151 , 0.959 , 11969±149
Matched_group18_Johnson.root  , 5808±100 , 0.861 , 5804±100
Matched_group18_Gaussian.root , 5796±94 , 0.860 , 5795±94
Matched_group18_CB.root       , 6006±115 , 0.882 , 5941±113
Matched_group19_Johnson.root  , 9680±106 , 0.976 , 9673±106
Matched_group19_Gaussian.root , 9654±103 , 0.974 , 9652±103
Matched_group19_CB.root       , 9765±106 , 0.982 , 9734±106
Matched_group20_Johnson.root  , 13709±119 , 0.991 , 13703±119
Matched_group20_Gaussian.root , 13677±119 , 0.989 , 13676±119
Matched_group20_CB.root       , 13715±120 , 0.991 , 13701±119
