decMode, subMode, nSig, nBkg, signf, purity, eNSig
0, 0, 2129, 7876, 32, 47, 4.45
0, 1, 830, 4462, 16, 32, 7.79
0, 2, 25939, 51045, 131, 66, 0.86
0, 3, 2316, 3788, 37, 61, 3.38
0, 4, 2309, 14164, 25, 27, 4.99
0, 5, 35721, 40569, 158, 70, 0.78
0, 6, 6515, 9929, 63, 61, 1.71
0, 7, 473, 1396, 14, 40, 11.05
0, 8, 1226, 1225, 30, 71, 3.93
0, 9, 115, 888, 0, 1, 68.12
0, 10, 3032, 8176, 38, 48, 3.49
0, 11, 3426, 10382, 39, 44, 3.41
0, 12, 2032, 11587, 24, 27, 5.98
0, 13, 33785, 55366, 145, 62, 0.81
0, 14, 3898, 3714, 52, 69, 2.45
1, 0, 154, 516, 9, 53, 13.93
1, 1, 308, 1632, 11, 43, 12.94
1, 2, 10989, 19466, 87, 70, 1.37
1, 3, 777, 1522, 23, 67, 5.22
1, 4, 480, 3526, 13, 36, 9.58
1, 5, 13032, 24050, 94, 69, 1.31
1, 6, 889, 1620, 25, 68, 16.35
1, 7, 122, 605, 7, 48, 23.97
1, 8, 199, 241, 12, 79, 9.17
1, 9, 0, 2, 0, 0, 0.00
1, 10, 215, 921, 10, 50, 9.87
1, 11, 570, 1173, 20, 68, 6.37
1, 12, 474, 3080, 13, 37, 5.84
1, 13, 12447, 25313, 90, 65, 1.29
1, 14, 937, 1805, 25, 68, 5.00
3, 0, 1, 0, 0, 0, 93.37
3, 1, 40, 72, 5, 70, 19.10
3, 2, 5639, 6434, 65, 76, 3.52
3, 3, 124, 113, 10, 76, 19.08
3, 4, 31, 32, 5, 81, 22.52
3, 5, 3935, 3715, 56, 80, 2.09
3, 6, 139, 65, 11, 90, 9.28
3, 7, 13, 3, 3, 102, 29.98
3, 8, 0, 36, 0, 0, 36350955.77
3, 9, 0, 0, 0, 0, 0.00
3, 10, 0, 0, 0, 0, 450381150.00
3, 11, 29, 30, 5, 76, 18.05
3, 12, 0, 83, 0, 0, 29374634.38
3, 13, 4691, 3845, 62, 81, 1.68
3, 14, 158, 68, 12, 95, 8.28
4, all, 427, 126, 20, 94, 5.21
14, all, 11130, 3221, 98, 86, 1.24
15, all, 30837, 17476, 161, 84, 0.72
16, all, 2434, 743, 47, 91, 2.68
18, all, 2497, 22279, 32, 42, 4.87
20, all, 2993, 1086, 48, 78, 2.70
22, all, 4274, 9245, 50, 57, 2.38
23, all, 4967, 7508, 60, 72, 1.77
24, all, 222, 311, 13, 73, 9.25
25, 0, 6402, 9450, 69, 74, 1.89
25, 1, 8349, 2461, 89, 95, 1.61
26, 0, 1098, 2675, 25, 59, 4.81
26, 1, 1960, 698, 42, 89, 3.15
27, 0, 959, 3429, 23, 56, 5.60
27, 1, 1427, 790, 35, 87, 2.48
28, 0, 1125, 5270, 23, 49, 6.67
28, 1, 1672, 1167, 38, 85, 2.87
30, all, 772, 559, 25, 83, 4.70
31, all, 713, 1497, 21, 60, 5.34
15, 0, 653, 1108, 21, 70, 5.60
15, 1, 153, 320, 10, 60, 12.76
15, 2, 5737, 2569, 70, 85, 1.85
15, 3, 562, 392, 22, 84, 5.72
15, 4, 215, 166, 13, 84, 9.85
15, 5, 275, 554, 13, 61, 9.50
15, 6, 7375, 3221, 80, 87, 1.51
15, 7, 1472, 1322, 34, 77, 3.68
15, 8, 265, 208, 15, 80, 8.20
15, 9, 365, 171, 18, 86, 7.68
15, 10, 194, 165, 12, 81, 10.80
15, 11, 2926, 1173, 51, 90, 2.16
15, 12, 1186, 1153, 30, 76, 4.00
15, 13, 148, 476, 8, 45, 16.49
15, 14, 26, 31, 4, 66, 31.13
