decMode ,subMode, nSig  , eNsig ,purity , -coef , eCoef , decStr
       0,  0    , 2129  , 7876  ,   47  ,  88.5 , 2.1   ,#pi^{0}#pi^{+}K_{S}^{0} 
       0,  2    , 25939 , 51045 ,   66  ,  73.0 , 0.8   ,#pi^{-}#pi^{+}K^{+} 
       0,  3    , 2316  , 3788  ,   61  , 129.0 , 3.2   ,#pi^{+}K^{-}K^{+} 
       0,  5    , 35721 , 40569 ,   70  , 117.0 , 0.9   ,#pi^{0}#pi^{-}#pi^{+}K^{+} 
       0,  6    , 6515  , 9929  ,   61  , 134.4 , 1.8   ,#pi^{-}#pi^{+}#pi^{+}K_{S}^{0} 
       0,  8    , 1226  , 1225  ,   71  , 133.3 , 5.6   ,#pi^{+}K_{S}^{0}K^{-}K^{+} 
       0, 10    , 3032  , 8176  ,   48  , 129.1 , 2.2   ,#pi^{0}#pi^{0}#pi^{-}#pi^{+}K^{+} 
       0, 11    , 3426  , 10382 ,   44  , 139.5 , 1.9   ,#pi^{0}#pi^{-}#pi^{+}#pi^{+}K_{S}^{0} 
       0, 13    , 33785 , 55366 ,   62  , 117.1 , 0.8   ,#pi^{-}#pi^{-}#pi^{+}#pi^{+}K^{+} 
       0, 14    , 3898  , 3714  ,   69  , 158.8 , 3.6   ,#pi^{0}#pi^{-}#pi^{-}#pi^{+}#pi^{+}K^{+} 
       1,  1    , 308   , 1632  ,   43  ,  63.2 , 4.0   ,#pi^{0}#pi^{-}#pi^{+}#pi^{+} 
       1,  2    , 10989 , 19466 ,   70  ,  64.7 , 1.1   ,#pi^{0}#pi^{-}#pi^{+}K^{+} 
       1,  3    , 777   , 1522  ,   67  ,  66.6 , 4.0   ,#pi^{0}#pi^{+}K^{-}K^{+} 
       1,  5    , 13032 , 24050 ,   69  ,  64.0 , 1.0   ,#pi^{0}#pi^{0}#pi^{-}#pi^{+}K^{+} 
       1,  6    , 889   , 1620  ,   68  ,  71.4 , 4.6   ,#pi^{0}#pi^{-}#pi^{+}#pi^{+}K_{S}^{0} 
       1,  8    , 199   , 241   ,   79  ,  53.2 , 9.3   ,#pi^{0}#pi^{+}K_{S}^{0}K^{-}K^{+} 
       1, 10    , 215   , 921   ,   50  ,  68.9 , 4.5   ,#pi^{0}#pi^{0}#pi^{0}#pi^{-}#pi^{+}K^{+} 
       1, 11    , 570   , 1173  ,   68  ,  60.1 , 4.4   ,#pi^{0}#pi^{0}#pi^{-}#pi^{+}#pi^{+}K_{S}^{0} 
       1, 13    , 12447 , 25313 ,   65  ,  70.0 , 1.0   ,#pi^{0}#pi^{-}#pi^{-}#pi^{+}#pi^{+}K^{+} 
       1, 14    , 937   , 1805  ,   68  ,  67.7 , 3.6   ,#pi^{0}#pi^{0}#pi^{-}#pi^{-}#pi^{+}#pi^{+}K^{+} 
       3,  2    , 5639  , 6434  ,   76  ,  78.5 , 1.9   ,#pi^{-}#pi^{-}#pi^{+}#pi^{+}K^{+} 
       3,  3    , 124   , 113   ,   76  ,  98.0 ,  15   ,#pi^{-}#pi^{+}#pi^{+}K^{-}K^{+} 
       3,  5    , 3935  , 3715  ,   80  ,  73.8 , 2.6   ,#pi^{0}#pi^{-}#pi^{-}#pi^{+}#pi^{+}K^{+} 
       3,  6    , 139   , 65    ,   90  ,  70.1 ,  18   ,#pi^{-}#pi^{-}#pi^{+}#pi^{+}#pi^{+}K_{S}^{0} 
